sno,communityId,flatNo,deviceId,sensorType,status
62,1,"A18-013","GVM202600062","Humidity Sensor",2
63,1,"A3-025","GVM202600063","Smoke Detector",2
64,1,"A1-082","GVM202600064","Smoke Detector",2
65,1,"A19-081","GVM202600065","Smoke Detector",2
66,1,"A4-041","GVM202600066","Humidity Sensor",2
67,1,"A17-033","GVM202600067","Humidity Sensor",2
68,1,"A15-102","GVM202600068","Humidity Sensor",2
69,1,"A12-013","GVM202600069","Multi-Sensor",2
70,1,"A15-042","GVM202600070","Multi-Sensor",2
71,1,"A8-011","GVM202600071","Temperature Sensor",2
72,1,"A6-074","GVM202600072","Smoke Detector",2
73,1,"A15-092","GVM202600073","Multi-Sensor",2
74,1,"A8-061","GVM202600074","Multi-Sensor",2
75,1,"A18-042","GVM202600075","Humidity Sensor",2
76,1,"A1-083","GVM202600076","Humidity Sensor",2
77,1,"A16-055","GVM202600077","Gas Sensor",2
78,1,"A15-065","GVM202600078","Smoke Detector",2
79,1,"A14-063","GVM202600079","Gas Sensor",2
80,1,"A12-052","GVM202600080","Multi-Sensor",2
81,1,"A10-044","GVM202600081","Humidity Sensor",2
82,1,"A17-061","GVM202600082","Multi-Sensor",2
83,1,"A18-063","GVM202600083","Gas Sensor",2
84,1,"A12-062","GVM202600084","Humidity Sensor",2
85,1,"A6-021","GVM202600085","Humidity Sensor",2
86,1,"A6-092","GVM202600086","Humidity Sensor",2
87,1,"A13-034","GVM202600087","Gas Sensor",2
88,1,"A6-052","GVM202600088","Smoke Detector",2
89,1,"A17-011","GVM202600089","Multi-Sensor",2
90,1,"A12-052","GVM202600090","Humidity Sensor",2
91,1,"A5-044","GVM202600091","Temperature Sensor",2
92,1,"A15-045","GVM202600092","Multi-Sensor",2
93,1,"A9-061","GVM202600093","Humidity Sensor",2
94,1,"A3-024","GVM202600094","Smoke Detector",2
95,1,"A13-031","GVM202600095","Smoke Detector",2
96,1,"A15-105","GVM202600096","Temperature Sensor",2
97,1,"A8-074","GVM202600097","Humidity Sensor",2
98,1,"A20-033","GVM202600098","Smoke Detector",2
99,1,"A9-055","GVM202600099","Temperature Sensor",2
100,1,"A8-074","GVM202600100","Multi-Sensor",2
101,1,"A5-094","GVM202600101","Temperature Sensor",2
102,1,"A12-042","GVM202600102","Gas Sensor",2
103,1,"A20-072","GVM202600103","Humidity Sensor",2
104,1,"A13-092","GVM202600104","Temperature Sensor",2
105,1,"A8-052","GVM202600105","Temperature Sensor",2
106,1,"A12-055","GVM202600106","Gas Sensor",2
107,1,"A6-045","GVM202600107","Smoke Detector",2
108,1,"A2-071","GVM202600108","Humidity Sensor",2
109,1,"A12-103","GVM202600109","Temperature Sensor",2
110,1,"A4-082","GVM202600110","Gas Sensor",2
111,1,"A5-091","GVM202600111","Temperature Sensor",2
112,1,"A3-063","GVM202600112","Smoke Detector",2
113,1,"A5-023","GVM202600113","Smoke Detector",2
114,1,"A14-051","GVM202600114","Smoke Detector",2
115,1,"A15-013","GVM202600115","Smoke Detector",2
116,1,"A3-025","GVM202600116","Temperature Sensor",2
117,1,"A1-032","GVM202600117","Temperature Sensor",2
118,1,"A19-083","GVM202600118","Multi-Sensor",2
119,1,"A10-093","GVM202600119","Humidity Sensor",2
120,1,"A5-072","GVM202600120","Temperature Sensor",2
121,1,"A13-055","GVM202600121","Smoke Detector",2
122,1,"A13-045","GVM202600122","Multi-Sensor",2
123,1,"A6-073","GVM202600123","Temperature Sensor",2
124,1,"A16-083","GVM202600124","Smoke Detector",2
125,1,"A16-043","GVM202600125","Gas Sensor",2
126,1,"A1-071","GVM202600126","Smoke Detector",2
127,1,"A14-031","GVM202600127","Smoke Detector",2
128,1,"A19-034","GVM202600128","Temperature Sensor",2
129,1,"A5-061","GVM202600129","Gas Sensor",2
130,1,"A16-023","GVM202600130","Temperature Sensor",2
131,1,"A2-014","GVM202600131","Smoke Detector",2
132,1,"A20-045","GVM202600132","Humidity Sensor",2
133,1,"A13-093","GVM202600133","Multi-Sensor",2
134,1,"A13-073","GVM202600134","Temperature Sensor",2
135,1,"A9-024","GVM202600135","Humidity Sensor",2
136,1,"A12-041","GVM202600136","Gas Sensor",2
137,1,"A13-071","GVM202600137","Gas Sensor",2
138,1,"A8-103","GVM202600138","Smoke Detector",2
139,1,"A10-015","GVM202600139","Temperature Sensor",2
140,1,"A18-022","GVM202600140","Humidity Sensor",2
141,1,"A4-021","GVM202600141","Temperature Sensor",2
142,1,"A14-021","GVM202600142","Smoke Detector",2
143,1,"A8-043","GVM202600143","Temperature Sensor",2
144,1,"A9-053","GVM202600144","Humidity Sensor",2
145,1,"A17-034","GVM202600145","Temperature Sensor",2
146,1,"A16-062","GVM202600146","Gas Sensor",2
147,1,"A9-082","GVM202600147","Multi-Sensor",2
148,1,"A5-084","GVM202600148","Multi-Sensor",2
149,1,"A20-101","GVM202600149","Multi-Sensor",2
150,1,"A14-021","GVM202600150","Humidity Sensor",2
151,1,"A11-105","GVM202600151","Temperature Sensor",2
152,1,"A10-025","GVM202600152","Gas Sensor",2
153,1,"A5-012","GVM202600153","Smoke Detector",2
154,1,"A10-071","GVM202600154","Gas Sensor",2
155,1,"A19-101","GVM202600155","Gas Sensor",2
156,1,"A6-071","GVM202600156","Temperature Sensor",2
157,1,"A18-031","GVM202600157","Temperature Sensor",2
158,1,"A6-053","GVM202600158","Smoke Detector",2
159,1,"A19-094","GVM202600159","Humidity Sensor",2
160,1,"A1-103","GVM202600160","Gas Sensor",2
161,1,"A15-102","GVM202600161","Multi-Sensor",2
162,1,"A10-073","GVM202600162","Gas Sensor",2
163,1,"A12-065","GVM202600163","Multi-Sensor",2
164,1,"A1-082","GVM202600164","Humidity Sensor",2
165,1,"A13-032","GVM202600165","Multi-Sensor",2
166,1,"A15-065","GVM202600166","Gas Sensor",2
167,1,"A8-042","GVM202600167","Smoke Detector",2
168,1,"A9-072","GVM202600168","Humidity Sensor",2
169,1,"A10-105","GVM202600169","Gas Sensor",2
170,1,"A17-033","GVM202600170","Smoke Detector",2
171,1,"A2-053","GVM202600171","Humidity Sensor",2
172,1,"A6-033","GVM202600172","Multi-Sensor",2
173,1,"A10-033","GVM202600173","Humidity Sensor",2
174,1,"A11-065","GVM202600174","Multi-Sensor",2
175,1,"A2-054","GVM202600175","Smoke Detector",2
176,1,"A4-041","GVM202600176","Smoke Detector",2
177,1,"A17-021","GVM202600177","Smoke Detector",2
178,1,"A18-053","GVM202600178","Smoke Detector",2
179,1,"A1-102","GVM202600179","Humidity Sensor",2
180,1,"A16-101","GVM202600180","Temperature Sensor",2
181,1,"A16-034","GVM202600181","Temperature Sensor",2
182,1,"A19-011","GVM202600182","Gas Sensor",2
183,1,"A16-024","GVM202600183","Smoke Detector",2
184,1,"A1-094","GVM202600184","Smoke Detector",2
185,1,"A14-104","GVM202600185","Gas Sensor",2
186,1,"A8-054","GVM202600186","Humidity Sensor",2
187,1,"A16-084","GVM202600187","Multi-Sensor",2
188,1,"A7-025","GVM202600188","Temperature Sensor",2
189,1,"A15-082","GVM202600189","Gas Sensor",2
190,1,"A15-062","GVM202600190","Smoke Detector",2
191,1,"A12-053","GVM202600191","Gas Sensor",2
192,1,"A10-073","GVM202600192","Smoke Detector",2
193,1,"A2-014","GVM202600193","Gas Sensor",2
194,1,"A17-012","GVM202600194","Gas Sensor",2
195,1,"A6-022","GVM202600195","Multi-Sensor",2
196,1,"A17-063","GVM202600196","Smoke Detector",2
197,1,"A4-075","GVM202600197","Temperature Sensor",2
198,1,"A16-045","GVM202600198","Temperature Sensor",2
199,1,"A2-012","GVM202600199","Temperature Sensor",2
200,1,"A14-064","GVM202600200","Smoke Detector",2
201,2,"A14-045","GVM202600201","Multi-Sensor",2
202,2,"A10-041","GVM202600202","Humidity Sensor",2
203,2,"A10-071","GVM202600203","Temperature Sensor",2
204,2,"A10-011","GVM202600204","Multi-Sensor",2
205,2,"A3-042","GVM202600205","Multi-Sensor",2
206,2,"A17-063","GVM202600206","Temperature Sensor",2
207,2,"A15-054","GVM202600207","Multi-Sensor",2
208,2,"A10-074","GVM202600208","Humidity Sensor",2
209,2,"A12-105","GVM202600209","Temperature Sensor",2
210,2,"A20-032","GVM202600210","Temperature Sensor",2
211,2,"A18-092","GVM202600211","Gas Sensor",2
212,2,"A5-083","GVM202600212","Humidity Sensor",2
213,2,"A9-074","GVM202600213","Smoke Detector",2
214,2,"A4-071","GVM202600214","Gas Sensor",2
215,2,"A12-034","GVM202600215","Smoke Detector",2
216,2,"A1-074","GVM202600216","Humidity Sensor",2
217,2,"A9-045","GVM202600217","Humidity Sensor",2
218,2,"A6-062","GVM202600218","Smoke Detector",2
219,2,"A2-105","GVM202600219","Gas Sensor",2
220,2,"A19-011","GVM202600220","Gas Sensor",2
221,2,"A17-024","GVM202600221","Multi-Sensor",2
222,2,"A5-095","GVM202600222","Humidity Sensor",2
223,2,"A12-102","GVM202600223","Gas Sensor",2
224,2,"A17-023","GVM202600224","Multi-Sensor",2
225,2,"A9-022","GVM202600225","Gas Sensor",2
226,2,"A12-012","GVM202600226","Temperature Sensor",2
227,2,"A11-022","GVM202600227","Multi-Sensor",2
228,2,"A7-045","GVM202600228","Gas Sensor",2
229,2,"A14-031","GVM202600229","Multi-Sensor",2
230,2,"A16-021","GVM202600230","Multi-Sensor",2
231,2,"A14-074","GVM202600231","Multi-Sensor",2
232,2,"A14-014","GVM202600232","Temperature Sensor",2
233,2,"A17-052","GVM202600233","Gas Sensor",2
234,2,"A11-041","GVM202600234","Multi-Sensor",2
235,2,"A18-031","GVM202600235","Smoke Detector",2
236,2,"A16-061","GVM202600236","Temperature Sensor",2
237,2,"A13-072","GVM202600237","Smoke Detector",2
238,2,"A3-082","GVM202600238","Gas Sensor",2
239,2,"A2-063","GVM202600239","Gas Sensor",2
240,2,"A10-053","GVM202600240","Humidity Sensor",2
241,2,"A3-092","GVM202600241","Temperature Sensor",2
242,2,"A8-015","GVM202600242","Gas Sensor",2
243,2,"A16-055","GVM202600243","Multi-Sensor",2
244,2,"A15-071","GVM202600244","Gas Sensor",2
245,2,"A13-102","GVM202600245","Multi-Sensor",2
246,2,"A4-011","GVM202600246","Gas Sensor",2
247,2,"A18-021","GVM202600247","Multi-Sensor",2
248,2,"A4-012","GVM202600248","Humidity Sensor",2
249,2,"A4-093","GVM202600249","Humidity Sensor",2
250,2,"A19-011","GVM202600250","Gas Sensor",2
251,2,"A12-072","GVM202600251","Humidity Sensor",2
252,2,"A19-053","GVM202600252","Temperature Sensor",2
253,2,"A6-081","GVM202600253","Smoke Detector",2
254,2,"A11-101","GVM202600254","Humidity Sensor",2
255,2,"A12-064","GVM202600255","Smoke Detector",2
256,2,"A19-055","GVM202600256","Gas Sensor",2
257,2,"A19-014","GVM202600257","Smoke Detector",2
258,2,"A12-011","GVM202600258","Temperature Sensor",2
259,2,"A18-055","GVM202600259","Humidity Sensor",2
260,2,"A17-024","GVM202600260","Humidity Sensor",2
261,2,"A5-062","GVM202600261","Smoke Detector",2
262,2,"A17-054","GVM202600262","Humidity Sensor",2
263,2,"A9-091","GVM202600263","Multi-Sensor",2
264,2,"A17-081","GVM202600264","Smoke Detector",2
265,2,"A2-085","GVM202600265","Smoke Detector",2
266,2,"A8-053","GVM202600266","Humidity Sensor",2
267,2,"A6-041","GVM202600267","Gas Sensor",2
268,2,"A11-095","GVM202600268","Temperature Sensor",2
269,2,"A5-101","GVM202600269","Humidity Sensor",2
270,2,"A20-071","GVM202600270","Temperature Sensor",2
271,2,"A13-075","GVM202600271","Temperature Sensor",2
272,2,"A8-041","GVM202600272","Smoke Detector",2
273,2,"A1-064","GVM202600273","Gas Sensor",2
274,2,"A9-024","GVM202600274","Multi-Sensor",2
275,2,"A14-021","GVM202600275","Temperature Sensor",2
276,2,"A20-103","GVM202600276","Temperature Sensor",2
277,2,"A17-021","GVM202600277","Humidity Sensor",2
278,2,"A20-084","GVM202600278","Multi-Sensor",2
279,2,"A2-021","GVM202600279","Temperature Sensor",2
280,2,"A9-032","GVM202600280","Multi-Sensor",2
281,2,"A1-095","GVM202600281","Temperature Sensor",2
282,2,"A2-035","GVM202600282","Humidity Sensor",2
283,2,"A7-081","GVM202600283","Gas Sensor",2
284,2,"A11-063","GVM202600284","Smoke Detector",2
285,2,"A20-102","GVM202600285","Temperature Sensor",2
286,2,"A6-061","GVM202600286","Smoke Detector",2
287,2,"A6-053","GVM202600287","Gas Sensor",2
288,2,"A19-083","GVM202600288","Multi-Sensor",2
289,2,"A5-043","GVM202600289","Smoke Detector",2
290,2,"A11-023","GVM202600290","Smoke Detector",2
291,2,"A3-011","GVM202600291","Humidity Sensor",2
292,2,"A8-043","GVM202600292","Humidity Sensor",2
293,2,"A3-031","GVM202600293","Humidity Sensor",2
294,2,"A20-051","GVM202600294","Gas Sensor",2
295,2,"A6-023","GVM202600295","Gas Sensor",2
296,2,"A14-053","GVM202600296","Smoke Detector",2
297,2,"A17-061","GVM202600297","Multi-Sensor",2
298,2,"A15-094","GVM202600298","Humidity Sensor",2
299,2,"A9-015","GVM202600299","Humidity Sensor",2
300,2,"A8-011","GVM202600300","Temperature Sensor",2
301,2,"A3-093","GVM202600301","Temperature Sensor",2
302,2,"A13-095","GVM202600302","Humidity Sensor",2
303,2,"A12-102","GVM202600303","Multi-Sensor",2
304,2,"A15-062","GVM202600304","Smoke Detector",2
305,2,"A19-041","GVM202600305","Gas Sensor",2
306,2,"A9-065","GVM202600306","Gas Sensor",2
307,2,"A19-063","GVM202600307","Temperature Sensor",2
308,2,"A18-092","GVM202600308","Gas Sensor",2
309,2,"A7-061","GVM202600309","Gas Sensor",2
310,2,"A11-023","GVM202600310","Humidity Sensor",2
311,2,"A11-065","GVM202600311","Gas Sensor",2
312,2,"A2-074","GVM202600312","Temperature Sensor",2
313,2,"A5-075","GVM202600313","Humidity Sensor",2
314,2,"A15-105","GVM202600314","Temperature Sensor",2
315,2,"A18-012","GVM202600315","Smoke Detector",2
316,2,"A14-043","GVM202600316","Humidity Sensor",2
317,2,"A13-044","GVM202600317","Smoke Detector",2
318,2,"A17-045","GVM202600318","Multi-Sensor",2
319,2,"A18-023","GVM202600319","Temperature Sensor",2
320,2,"A19-074","GVM202600320","Multi-Sensor",2
321,2,"A10-032","GVM202600321","Humidity Sensor",2
322,2,"A10-034","GVM202600322","Temperature Sensor",2
323,2,"A4-105","GVM202600323","Gas Sensor",2
324,2,"A7-101","GVM202600324","Humidity Sensor",2
325,2,"A16-075","GVM202600325","Multi-Sensor",2
326,2,"A19-054","GVM202600326","Smoke Detector",2
327,2,"A1-074","GVM202600327","Humidity Sensor",2
328,2,"A6-052","GVM202600328","Temperature Sensor",2
329,2,"A18-085","GVM202600329","Multi-Sensor",2
330,2,"A1-081","GVM202600330","Multi-Sensor",2
331,2,"A15-065","GVM202600331","Smoke Detector",2
332,2,"A20-062","GVM202600332","Smoke Detector",2
333,2,"A11-054","GVM202600333","Gas Sensor",2
334,2,"A5-062","GVM202600334","Temperature Sensor",2
335,2,"A20-043","GVM202600335","Smoke Detector",2
336,2,"A19-011","GVM202600336","Smoke Detector",2
337,2,"A15-052","GVM202600337","Humidity Sensor",2
338,2,"A14-083","GVM202600338","Humidity Sensor",2
339,2,"A12-023","GVM202600339","Smoke Detector",2
340,2,"A2-025","GVM202600340","Smoke Detector",2
341,2,"A2-023","GVM202600341","Smoke Detector",2
342,2,"A13-063","GVM202600342","Temperature Sensor",2
343,2,"A14-085","GVM202600343","Multi-Sensor",2
344,2,"A19-025","GVM202600344","Gas Sensor",2
345,2,"A10-082","GVM202600345","Multi-Sensor",2
346,2,"A12-055","GVM202600346","Multi-Sensor",2
347,2,"A2-091","GVM202600347","Multi-Sensor",2
348,2,"A13-055","GVM202600348","Humidity Sensor",2
349,2,"A18-071","GVM202600349","Humidity Sensor",2
350,2,"A11-093","GVM202600350","Smoke Detector",2
351,2,"A19-041","GVM202600351","Multi-Sensor",2
352,2,"A20-072","GVM202600352","Humidity Sensor",2
353,2,"A8-025","GVM202600353","Gas Sensor",2
354,2,"A14-054","GVM202600354","Humidity Sensor",2
355,2,"A10-094","GVM202600355","Temperature Sensor",2
356,2,"A12-041","GVM202600356","Multi-Sensor",2
357,2,"A13-013","GVM202600357","Humidity Sensor",2
358,2,"A15-011","GVM202600358","Temperature Sensor",2
359,2,"A15-053","GVM202600359","Multi-Sensor",2
360,2,"A16-103","GVM202600360","Humidity Sensor",2
361,2,"A14-061","GVM202600361","Multi-Sensor",2
362,2,"A11-102","GVM202600362","Smoke Detector",2
363,2,"A7-023","GVM202600363","Temperature Sensor",2
364,2,"A9-071","GVM202600364","Gas Sensor",2
365,2,"A6-074","GVM202600365","Multi-Sensor",2
366,2,"A13-032","GVM202600366","Multi-Sensor",2
367,2,"A14-034","GVM202600367","Humidity Sensor",2
368,2,"A15-091","GVM202600368","Gas Sensor",2
369,2,"A7-094","GVM202600369","Gas Sensor",2
370,2,"A2-041","GVM202600370","Temperature Sensor",2
371,2,"A15-014","GVM202600371","Gas Sensor",2
372,2,"A11-012","GVM202600372","Gas Sensor",2
373,2,"A15-022","GVM202600373","Temperature Sensor",2
374,2,"A1-054","GVM202600374","Humidity Sensor",2
375,2,"A18-055","GVM202600375","Multi-Sensor",2
376,2,"A18-034","GVM202600376","Gas Sensor",2
377,2,"A8-093","GVM202600377","Humidity Sensor",2
378,2,"A6-051","GVM202600378","Humidity Sensor",2
379,2,"A13-052","GVM202600379","Smoke Detector",2
380,2,"A12-023","GVM202600380","Humidity Sensor",2
381,2,"A19-044","GVM202600381","Humidity Sensor",2
382,2,"A8-083","GVM202600382","Smoke Detector",2
383,2,"A18-071","GVM202600383","Smoke Detector",2
384,2,"A18-075","GVM202600384","Smoke Detector",2
385,2,"A13-083","GVM202600385","Smoke Detector",2
386,2,"A11-012","GVM202600386","Multi-Sensor",2
387,2,"A13-102","GVM202600387","Temperature Sensor",2
388,2,"A11-033","GVM202600388","Multi-Sensor",2
389,2,"A19-103","GVM202600389","Humidity Sensor",2
390,2,"A15-095","GVM202600390","Temperature Sensor",2
391,2,"A12-084","GVM202600391","Temperature Sensor",2
392,2,"A18-075","GVM202600392","Humidity Sensor",2
393,2,"A18-074","GVM202600393","Humidity Sensor",2
394,2,"A11-082","GVM202600394","Humidity Sensor",2
395,2,"A6-041","GVM202600395","Humidity Sensor",2
396,2,"A19-025","GVM202600396","Temperature Sensor",2
397,2,"A6-075","GVM202600397","Temperature Sensor",2
398,2,"A7-082","GVM202600398","Smoke Detector",2
399,2,"A2-022","GVM202600399","Gas Sensor",2
400,2,"A8-021","GVM202600400","Temperature Sensor",2
401,3,"A18-063","GVM202600401","Temperature Sensor",2
402,3,"A19-064","GVM202600402","Humidity Sensor",2
403,3,"A9-012","GVM202600403","Multi-Sensor",2
404,3,"A8-031","GVM202600404","Humidity Sensor",2
405,3,"A17-054","GVM202600405","Multi-Sensor",2
406,3,"A18-015","GVM202600406","Temperature Sensor",2
407,3,"A12-044","GVM202600407","Humidity Sensor",2
408,3,"A17-073","GVM202600408","Humidity Sensor",2
409,3,"A3-042","GVM202600409","Gas Sensor",2
410,3,"A9-035","GVM202600410","Smoke Detector",2
411,3,"A19-101","GVM202600411","Smoke Detector",2
412,3,"A14-044","GVM202600412","Humidity Sensor",2
413,3,"A20-041","GVM202600413","Gas Sensor",2
414,3,"A10-022","GVM202600414","Smoke Detector",2
415,3,"A13-062","GVM202600415","Temperature Sensor",2
416,3,"A15-082","GVM202600416","Smoke Detector",2
417,3,"A7-031","GVM202600417","Gas Sensor",2
418,3,"A11-102","GVM202600418","Multi-Sensor",2
419,3,"A9-083","GVM202600419","Gas Sensor",2
420,3,"A10-014","GVM202600420","Gas Sensor",2
421,3,"A17-074","GVM202600421","Gas Sensor",2
422,3,"A5-015","GVM202600422","Gas Sensor",2
423,3,"A4-094","GVM202600423","Temperature Sensor",2
424,3,"A19-074","GVM202600424","Multi-Sensor",2
425,3,"A13-071","GVM202600425","Humidity Sensor",2
426,3,"A13-031","GVM202600426","Temperature Sensor",2
427,3,"A12-071","GVM202600427","Gas Sensor",2
428,3,"A10-024","GVM202600428","Smoke Detector",2
429,3,"A12-063","GVM202600429","Multi-Sensor",2
430,3,"A17-052","GVM202600430","Smoke Detector",2
431,3,"A7-042","GVM202600431","Humidity Sensor",2
432,3,"A6-103","GVM202600432","Smoke Detector",2
433,3,"A5-085","GVM202600433","Gas Sensor",2
434,3,"A4-055","GVM202600434","Multi-Sensor",2
435,3,"A16-021","GVM202600435","Gas Sensor",2
436,3,"A12-063","GVM202600436","Smoke Detector",2
437,3,"A2-073","GVM202600437","Humidity Sensor",2
438,3,"A14-051","GVM202600438","Multi-Sensor",2
439,3,"A17-061","GVM202600439","Temperature Sensor",2
440,3,"A1-045","GVM202600440","Smoke Detector",2
441,3,"A6-091","GVM202600441","Gas Sensor",2
442,3,"A14-045","GVM202600442","Smoke Detector",2
443,3,"A17-082","GVM202600443","Humidity Sensor",2
444,3,"A4-015","GVM202600444","Smoke Detector",2
445,3,"A4-073","GVM202600445","Temperature Sensor",2
446,3,"A7-105","GVM202600446","Multi-Sensor",2
447,3,"A7-071","GVM202600447","Multi-Sensor",2
448,3,"A16-025","GVM202600448","Gas Sensor",2
449,3,"A7-011","GVM202600449","Temperature Sensor",2
450,3,"A6-064","GVM202600450","Multi-Sensor",2
451,3,"A5-053","GVM202600451","Temperature Sensor",2
452,3,"A5-044","GVM202600452","Multi-Sensor",2
453,3,"A8-055","GVM202600453","Smoke Detector",2
454,3,"A15-084","GVM202600454","Humidity Sensor",2
455,3,"A8-084","GVM202600455","Gas Sensor",2
456,3,"A8-074","GVM202600456","Humidity Sensor",2
457,3,"A19-063","GVM202600457","Gas Sensor",2
458,3,"A17-013","GVM202600458","Temperature Sensor",2
459,3,"A16-024","GVM202600459","Temperature Sensor",2
460,3,"A5-101","GVM202600460","Multi-Sensor",2
461,3,"A4-063","GVM202600461","Smoke Detector",2
462,3,"A15-054","GVM202600462","Smoke Detector",2
463,3,"A8-105","GVM202600463","Smoke Detector",2
464,3,"A12-072","GVM202600464","Smoke Detector",2
465,3,"A13-084","GVM202600465","Multi-Sensor",2
466,3,"A19-054","GVM202600466","Smoke Detector",2
467,3,"A7-034","GVM202600467","Smoke Detector",2
468,3,"A17-044","GVM202600468","Temperature Sensor",2
469,3,"A3-101","GVM202600469","Smoke Detector",2
470,3,"A4-093","GVM202600470","Smoke Detector",2
471,3,"A14-013","GVM202600471","Smoke Detector",2
472,3,"A6-015","GVM202600472","Humidity Sensor",2
473,3,"A6-054","GVM202600473","Temperature Sensor",2
474,3,"A15-013","GVM202600474","Smoke Detector",2
475,3,"A14-102","GVM202600475","Gas Sensor",2
476,3,"A9-034","GVM202600476","Humidity Sensor",2
477,3,"A1-022","GVM202600477","Multi-Sensor",2
478,3,"A4-013","GVM202600478","Temperature Sensor",2
479,3,"A19-095","GVM202600479","Humidity Sensor",2
480,3,"A15-101","GVM202600480","Smoke Detector",2
481,3,"A9-065","GVM202600481","Temperature Sensor",2
482,3,"A2-102","GVM202600482","Gas Sensor",2
483,3,"A18-013","GVM202600483","Temperature Sensor",2
484,3,"A17-081","GVM202600484","Gas Sensor",2
485,3,"A10-094","GVM202600485","Temperature Sensor",2
486,3,"A20-051","GVM202600486","Temperature Sensor",2
487,3,"A16-075","GVM202600487","Gas Sensor",2
488,3,"A4-093","GVM202600488","Smoke Detector",2
489,3,"A18-023","GVM202600489","Smoke Detector",2
490,3,"A18-053","GVM202600490","Gas Sensor",2
491,3,"A16-073","GVM202600491","Gas Sensor",2
492,3,"A14-071","GVM202600492","Smoke Detector",2
493,3,"A7-034","GVM202600493","Gas Sensor",2
494,3,"A17-052","GVM202600494","Gas Sensor",2
495,3,"A10-024","GVM202600495","Humidity Sensor",2
496,3,"A3-065","GVM202600496","Multi-Sensor",2
497,3,"A12-044","GVM202600497","Multi-Sensor",2
498,3,"A13-051","GVM202600498","Humidity Sensor",2
499,3,"A2-091","GVM202600499","Gas Sensor",2
500,3,"A15-032","GVM202600500","Multi-Sensor",2
501,3,"A11-022","GVM202600501","Gas Sensor",2
502,3,"A14-103","GVM202600502","Humidity Sensor",2
503,3,"A2-071","GVM202600503","Smoke Detector",2
504,3,"A13-091","GVM202600504","Humidity Sensor",2
505,3,"A1-024","GVM202600505","Multi-Sensor",2
