Flat No,Device ID,Sensor Type,Event Type,Leak Status,Time Occurred,Time Resolved,Duration (minutes),Details
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T10:05:29.818Z,2026-05-25T10:05:41.639Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T10:06:26.181Z,2026-05-25T10:06:37.138Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T10:33:13.096Z,2026-05-25T10:33:21.421Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-25T11:08:36.351Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-25T11:11:01.661Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T11:13:05.866Z,2026-05-25T11:13:14.506Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T11:13:23.973Z,2026-05-25T11:13:35.266Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T11:27:48.650Z,2026-05-25T11:27:59.741Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T11:34:33.769Z,2026-05-25T11:34:44.317Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T11:53:22.091Z,2026-05-25T11:53:33.163Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-25T12:04:17.564Z,2026-05-25T12:04:27.823Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-25T12:05:01.424Z,2026-05-25T12:05:13.486Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-26T04:26:45.795Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-26T04:26:45.801Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T04:29:56.697Z,2026-05-26T04:30:10.523Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T04:41:59.895Z,2026-05-26T04:42:12.897Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T04:42:18.839Z,2026-05-26T04:42:29.703Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T04:47:58.478Z,2026-05-26T04:48:10.478Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T04:52:22.211Z,2026-05-26T04:52:34.170Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T04:57:27.940Z,2026-05-26T04:57:41.858Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-26T05:06:49.385Z,2026-05-27T04:36:49.518Z,1410,Leak resolved. Duration: 1410 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T05:11:35.038Z,2026-05-26T05:11:48.096Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T05:34:34.646Z,2026-05-26T05:34:46.601Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T05:59:42.144Z,2026-05-26T05:59:57.199Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:00:22.994Z,2026-05-26T06:00:33.959Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T06:07:08.669Z,2026-05-26T06:07:23.624Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:07:22.569Z,2026-05-26T06:07:33.592Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T06:19:37.972Z,2026-05-26T06:19:49.876Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T06:30:44.282Z,2026-05-26T06:30:56.212Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:31:35.534Z,2026-05-26T06:31:56.016Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:32:08.247Z,2026-05-26T06:32:51.661Z,1,Leak resolved. Duration: 1 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:32:57.709Z,2026-05-26T06:34:23.982Z,1,Leak resolved. Duration: 1 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:34:29.047Z,2026-05-26T06:34:59.929Z,1,Leak resolved. Duration: 1 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T06:34:35.092Z,2026-05-26T06:34:47.970Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T06:45:06.382Z,2026-05-26T06:45:22.312Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T06:55:11.754Z,2026-05-26T06:55:25.796Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T07:08:40.933Z,2026-05-26T07:08:54.898Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T07:13:16.691Z,2026-05-26T07:13:33.689Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T07:23:01.188Z,2026-05-26T07:23:19.521Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T08:39:25.437Z,2026-05-26T08:39:39.422Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T08:56:59.411Z,2026-05-26T08:57:13.328Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T08:57:08.328Z,2026-05-26T08:57:26.271Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T09:18:07.084Z,2026-05-26T09:18:20.054Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T09:36:07.953Z,2026-05-26T09:36:25.910Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T09:45:04.521Z,2026-05-26T09:45:18.409Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T10:24:32.006Z,2026-05-26T10:24:50.020Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T10:24:41.213Z,2026-05-26T10:24:54.425Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T10:56:12.132Z,2026-05-26T10:56:24.207Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T11:15:07.939Z,2026-05-26T11:15:25.971Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T11:32:33.031Z,2026-05-26T11:32:46.881Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T11:46:53.404Z,2026-05-26T11:47:11.005Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-26T12:04:14.949Z,2026-05-26T12:04:28.927Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-26T12:04:23.093Z,2026-05-26T12:04:35.994Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-27T04:33:29.292Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T04:38:09.368Z,2026-05-27T04:38:23.299Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T04:38:55.427Z,2026-05-27T04:39:11.382Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T04:51:36.484Z,2026-05-27T04:51:51.440Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T04:54:13.535Z,2026-05-27T04:54:27.538Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T05:08:54.695Z,2026-05-27T05:09:09.742Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T05:27:15.931Z,2026-05-27T05:27:31.984Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T05:33:43.825Z,2026-05-27T05:33:58.362Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T05:59:04.100Z,2026-05-27T05:59:19.137Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T06:05:15.707Z,2026-05-27T06:05:30.543Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T06:17:37.114Z,2026-05-27T06:17:53.024Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T06:35:31.938Z,2026-05-27T06:35:44.795Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T06:40:08.832Z,2026-05-27T06:40:22.671Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T07:05:48.035Z,2026-05-27T07:06:02.061Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T07:12:16.332Z,2026-05-27T07:12:28.594Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T07:25:00.040Z,2026-05-27T07:25:14.990Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T08:39:54.474Z,2026-05-27T08:40:10.320Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T08:48:52.999Z,2026-05-27T08:49:07.952Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T09:02:51.974Z,2026-05-27T09:03:04.927Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T09:08:47.693Z,2026-05-27T09:09:02.566Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T09:14:33.120Z,2026-05-27T09:14:48.133Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T09:30:18.202Z,2026-05-27T09:30:33.281Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T09:36:48.471Z,2026-05-27T09:37:02.397Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T09:42:27.115Z,2026-05-27T09:42:43.178Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T09:51:03.605Z,2026-05-27T09:51:17.506Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T10:15:56.195Z,2026-05-27T10:16:12.160Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T10:27:02.390Z,2026-05-27T10:27:18.310Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-27T10:51:46.901Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-27T10:51:46.908Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T10:56:16.817Z,2026-05-27T10:56:32.664Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T10:57:11.704Z,2026-05-27T10:57:26.606Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T11:06:53.069Z,2026-05-27T11:07:08.020Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T11:11:19.061Z,2026-05-27T11:11:32.893Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-27T11:12:12.227Z,,,Status changed from No Communication to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T11:19:24.538Z,2026-05-27T11:19:36.429Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T11:33:32.592Z,2026-05-27T11:33:48.590Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-05-27T11:42:53.421Z,,,Status changed from Unknown to Online
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-05-27T11:42:53.482Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-05-27T11:52:19.903Z,2026-05-27T11:52:33.785Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-05-27T11:57:51.491Z,2026-05-27T11:58:05.440Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-06-01T04:32:00.733Z,,,Status changed from Unknown to Online
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-06-01T04:32:00.773Z,,,Status changed from Unknown to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T04:42:19.127Z,2026-06-01T04:42:35.084Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T04:50:22.691Z,2026-06-01T04:50:36.616Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T05:08:20.086Z,2026-06-01T05:08:36.146Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-06-01T05:15:50.134Z,,,Status changed from No Communication to Online
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-06-01T05:15:50.759Z,,,Status changed from No Communication to Online
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T05:18:56.971Z,2026-06-01T05:19:13.923Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T05:24:08.655Z,2026-06-01T05:24:24.607Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T05:28:10.938Z,2026-06-01T05:28:24.984Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T05:32:18.155Z,2026-06-01T05:32:35.200Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T05:37:42.767Z,2026-06-01T05:37:58.522Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T06:10:46.826Z,2026-06-01T06:11:03.185Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T06:16:12.188Z,2026-06-01T06:16:26.159Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,STATUS_CHANGED,Online,2026-06-01T08:51:57.731Z,,,Status changed from No Communication to Online
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-06-01T08:51:58.240Z,,,Status changed from No Communication to Online
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T09:20:39.039Z,2026-06-01T09:20:52.981Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T09:29:52.919Z,2026-06-01T09:30:08.868Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T09:37:52.394Z,2026-06-01T09:38:04.942Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T09:44:37.478Z,2026-06-01T09:44:49.979Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T09:58:19.743Z,2026-06-01T09:58:33.708Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T10:15:44.633Z,2026-06-01T10:16:00.298Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T10:27:01.013Z,2026-06-01T10:27:15.265Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T10:32:40.130Z,2026-06-01T10:32:57.128Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T10:40:27.189Z,2026-06-01T10:40:42.147Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T11:11:39.138Z,2026-06-01T11:11:54.809Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T11:21:18.831Z,2026-06-01T11:21:34.677Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T11:38:40.544Z,2026-06-01T11:38:55.053Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T11:45:26.353Z,2026-06-01T11:45:42.209Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T11:54:40.130Z,2026-06-01T11:54:55.184Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-01T12:01:57.264Z,2026-06-01T12:02:11.211Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-01T12:06:09.489Z,2026-06-01T12:06:22.396Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,STATUS_CHANGED,Online,2026-06-03T04:07:00.789Z,2026-06-03T11:17:23.197Z,430,Leak resolved. Duration: 430 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T04:11:18.230Z,2026-06-03T04:11:32.307Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T04:44:39.612Z,2026-06-03T04:44:55.149Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-03T05:01:44.102Z,2026-06-03T05:01:57.064Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T05:21:02.218Z,2026-06-03T05:21:14.959Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-03T06:04:13.286Z,2026-06-03T06:04:29.243Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T06:13:47.777Z,2026-06-03T06:13:58.724Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-03T06:23:20.116Z,2026-06-03T06:23:35.079Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T06:30:34.748Z,2026-06-03T06:30:48.805Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-03T06:42:53.062Z,2026-06-03T06:43:07.885Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T06:54:31.324Z,2026-06-03T06:54:45.254Z,0,Leak resolved. Duration: 0 minutes
A9-001,GVM202601484,External Device,LEAK_STARTED,Alert,2026-06-03T07:19:08.737Z,2026-06-03T07:19:23.673Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T08:43:04.680Z,2026-06-03T08:43:16.654Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T09:31:16.842Z,2026-06-03T09:31:28.720Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T09:50:33.388Z,2026-06-03T09:50:44.446Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T11:14:25.493Z,2026-06-03T11:14:41.440Z,0,Leak resolved. Duration: 0 minutes
A9-002,GVM202601486,External Device,LEAK_STARTED,Alert,2026-06-03T11:17:52.294Z,2026-06-03T11:18:08.446Z,0,Leak resolved. Duration: 0 minutes
